indicator_code,indicator_name,attribute_component,score,rationale
SRA 3.2.1,Benefits to and within community,Equitable and inclusive-C1,2,"The indicator provides moderate consideration of the attribute Equitable and inclusive (in terms of distributional equity), as the indicator aims to secure benefits to and within the community. However, burdens are not considered."
SRA 3.2.1,Benefits to and within community,Wealth and reserves-C1/1,2,The indicator provides moderate consideration of the attribute of Wealth and reserves. Access to wealth and reserves is indicated but not the quantity or quality of wealth and reserves.
SRA 3.2.1,Benefits to and within community,Access to economic opportunity-C2,2,"The indicator provides moderate consideration of the attribute Access to economic opportunity (in terms of enabling non-physical means). People from the community hold a majority of the access rights or jobs, which indicates access to economic opportunity. New and alternative income-earning options are not included in this indicator."
SRA 3.2.2,Economic value retention,Equitable and inclusive-C1,1,"The indicator provides weak consideration of the attribute Equitable and inclusive (in terms of distributional equity). Achieving the high PI score requirement that ""formalized training is provided to fishers/farmers in how to add value to their product"" provides an example of an action that could improve distributional equity, although this is not the focus of the indicator such that conceptually distributional equity itself is not considered."
SRA 3.2.2,Economic value retention,Access to economic opportunity-C2,1,"The indicator focused on economic value retention provides weak consideration of the attribute of Access to economic opportunity. An example of a new alternative income-earning activity is directly considered in the high PI score requirement of ""Formalized training is provided to fishers/farmers in how to add value to their product."" However, the ability to benefit from new alternative income-earning activities is not sufficiently considered such that there is only weak conceptual overlap."
SRA 3.2.3,Long-term profitability and future workforce,Wealth and reserves-C1/1,1,The indicator provides weak consideration of the attribute of Wealth and reserves. Long-term operating profit margin above 18% indicates quantity of wealth and reserves but not quality or access to profits within the fishery.
SRA 3.2.4,Economic flexibility and autonomy,Agency-C1/1,1,"The indicator provides weak consideration of the attribute of Agency. Achieving the high PI score requirement that ""harvesters are free to sell to whomever they wish without retribution"" falls within the scope of Agency and provides an example of one form of agency. However, the PI does not consider or evaluate the broader capacity of individuals and communities to negotiate, make decisions, and act on their own free will in all aspects."
SRA 3.2.4,Economic flexibility and autonomy,Access to knowledge-C1,1,"The indicator provides weak consideration of the attribute Access to knowledge (in regards to equitable access). Achieving the high PI score requirement that ""fishers/farmers know the quality expected of the product, how the price is calculated, and when they will be paid via written contract with buyers"" would directly support access to specific knowledge about the value chain. The PI aims to increase equitable access to available information. However, the PI does not consider equitable access to this information in full or equitable access to a wider breadth of variety of available knowledge about employment."
SRA 3.2.4,Economic flexibility and autonomy,Access to economic opportunity-C2,2,"The indicator provides moderate consideration of the attribute Access to economic opportunity (in terms of enabling non-physical means). There is more than one local buyer, indicating diversity of options, and ""fishers have access to credit markets or are recipients of investment opportunities."" Potential income-earning activities outside the fishery are not mentioned in the indicator."
SRA 3.2.4,Economic flexibility and autonomy,Economic diversity-C1,1,"The indicator provides weak consideration of the attribute Economic diversity (for within the fishery but not for outside the fishery). Achieving the high PI score requirement that ""there is more than one local fish buyer, and harvesters are free to sell to whomever they wish without retribution"" falls within the scope of Economic diversity-C1 and provides an example of an activity that directly supports economic diversity in terms of market options. However, the PI does not consider or evaluate the broader variety of income-earning activities besides having more than one buyer."
SRA 3.2.4,Economic flexibility and autonomy,Equitable and inclusive-C2,1,"The indicator provides weak consideration of the attribute Equitable and inclusive (in terms of procedural equity). New workers, including women, are being recruited into the workforce, and women are increasingly taking leadership roles in the supply chain and fishing/farming communities provides an example of an activity that directly supports the attribute; however, the concepts within the attribute are not sufficiently addressed."
SRA 3.2.4,Economic flexibility and autonomy,Access to knowledge-C2,1,"The indicator provides weak consideration of the attribute Access to knowledge (in terms of the ability to derive benefit). Achieving the high PI score requirement that ""fishers/farmers know the quality expected of the product, how the price is calculated, and when they will be paid via written contract with buyers"" directly supports knowledge diversity by providing detailed information. However, the PI does not explore the variety of knowledge, such that the conceptual overlap with the attribute component is weak."
SRA 3.2.5,Livelihood security,Access to economic opportunity-C1,3,"The indicator provides strong consideration of the attribute Access to economic opportunity (in terms of enabling physical means). Having formal legal access to a portfolio of species groups and the fact that achieving the high PI score requires that ""Male and female fishers/farmers/workers have ownership over the fishing/farming gear needed to fulfill livelihood responsibilities (ice, engines, boats, gear, fuel, bait, etc.)"" indicates direct physical access to economic opportunities within the fishery. Ensuring that men and women have ownership and access to gear, equipment, and species would allow them to capitalize on existing and new income opportunities. Thus, nearly all conceptual aspects of the attribute are considered by the indicator."
SRA 3.2.5,Livelihood security,Wealth and reserves-C1/1,1,"The indicator provides weak consideration of the attribute of Wealth and reserves. Wealth and reserves may be indicated by ownership of all gear needed to fulfill livelihood responsibilities, mainly covering access and minimum quantity of a specific type of wealth and reserves. Other types of assets that are not tied to fishing are not considered by the indicator."
SRA 3.2.5,Livelihood security,Access to economic opportunity-C2,2,The indicator provides moderate consideration of the attribute Access to economic opportunity (in terms of enabling non-physical means). A high PI score indicates non-physical access opportunities to professional development training within the fishery or capacity building either inside the fishery or outside (in alternative livelihoods). Ability to benefit from new alternative income-earning activities is not specifically addressed but is relevant in a changing climate and seafood sector.
SRA 3.2.5,Livelihood security,Agency-C1/1,1,"The indicator provides weak consideration of the attribute of Agency. Achieving the high PI score requirement that ""male and female fishers/farmers/workers have formal (legal) access to a portfolio of species/species groups and gear types"" indicates that having formal legal access and ownership directly supports free will. However, the PI does not consider the broader capacity of individuals and communities to negotiate, make decisions, and act on their own free will."
SRA 3.2.5,Livelihood security,Access to knowledge-C1,1,"The indicator provides weak consideration of the attribute Access to knowledge (in regards to equitable access). Achieving the high PI score requirement that ""male and female fishers/farmers/workers have access to professional development training or capacity building either inside the fishery/farm, or outside (in alternative livelihoods)"" aims to increase equitable access to knowledge regarding employment. However, the PI does not consider equitable access to a wider breadth of available knowledge about employment, such that the concepts of the attribute are only weakly addressed."
