indicator_code,attribute_component,indicator_component_score,attribute,attribute_complexity,attribute_dimension
ERA 2.2.3,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.2.3,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.2.3,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.2.3,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.2.3,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.2.3,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.2.3,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.2.3,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.2.3,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.2.3,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.2.3,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.2.3,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.2.3,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.2.3,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.2.3,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.2.3,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.2.3,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.2.3,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.2.3,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.2.3,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.3.1,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.3.1,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.3.1,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.3.1,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.3.1,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.3.1,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.3.1,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.3.1,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.3.1,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.3.1,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.3.1,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.3.1,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.3.1,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.3.1,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.3.1,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 2.3.1,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.3.1,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.3.1,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.3.1,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.3.1,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.3.1,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.3.1,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.3.1,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.3.1,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.3.1,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.3.1,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.3.1,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.3.1,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.3.1,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.3.1,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.3.1,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.3.1,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.3.1,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.3.1,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.3.1,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.3.1,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.3.1,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.3.1,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.3.1,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.3.1,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.3.2,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.3.2,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.3.2,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.3.2,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.3.2,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.3.2,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.3.2,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.3.2,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.3.2,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.3.2,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.3.2,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.3.2,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.3.2,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.3.2,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.3.2,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 2.3.2,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.3.2,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.3.2,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.3.2,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.3.2,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.3.2,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.3.2,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.3.2,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.3.2,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.3.2,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.3.2,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.3.2,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.3.2,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.3.2,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.3.2,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.3.2,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.3.2,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.3.2,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.3.2,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.3.2,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.3.2,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.3.2,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.3.2,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.3.2,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.3.2,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.3.3,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.3.3,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.3.3,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.3.3,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.3.3,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.3.3,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.3.3,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.3.3,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.3.3,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.3.3,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.3.3,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.3.3,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.3.3,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.3.3,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.3.3,Knowledge diversity-C1/1,1,Knowledge diversity,single-c,Socio-economic
ERA 2.3.3,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.3.3,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.3.3,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.3.3,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.3.3,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.3.3,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.3.3,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.3.3,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.3.3,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.3.3,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.3.3,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.3.3,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.3.3,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.3.3,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.3.3,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.3.3,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.3.3,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.3.3,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.3.3,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.3.3,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.3.3,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.3.3,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.3.3,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.3.3,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.3.3,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.4.1,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.4.1,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.4.1,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.4.1,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.4.1,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.4.1,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.4.1,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.4.1,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.4.1,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.4.1,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.4.1,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.4.1,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.4.1,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.4.1,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.4.1,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 2.4.1,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.4.1,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.4.1,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.4.1,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.4.1,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.4.1,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.4.1,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.4.1,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.4.1,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.4.1,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.4.1,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.4.1,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.4.1,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.4.1,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.4.1,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.4.1,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.4.1,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.4.1,Habitat diversity-C1/1,1,Habitat diversity,single-c,Ecological
ERA 2.4.1,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.4.1,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.4.1,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.4.1,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.4.1,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.4.1,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.4.1,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.4.2,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.4.2,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.4.2,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.4.2,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.4.2,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.4.2,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.4.2,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.4.2,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.4.2,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.4.2,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.4.2,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.4.2,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.4.2,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.4.2,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.4.2,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 2.4.2,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.4.2,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.4.2,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.4.2,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.4.2,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.4.2,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.4.2,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.4.2,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.4.2,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.4.2,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.4.2,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.4.2,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.4.2,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.4.2,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.4.2,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.4.2,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.4.2,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.4.2,Habitat diversity-C1/1,1,Habitat diversity,single-c,Ecological
ERA 2.4.2,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.4.2,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.4.2,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.4.2,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.4.2,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.4.2,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.4.2,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.4.3,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.4.3,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.4.3,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.4.3,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.4.3,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.4.3,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.4.3,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.4.3,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.4.3,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.4.3,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.4.3,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.4.3,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.4.3,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.4.3,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.4.3,Knowledge diversity-C1/1,1,Knowledge diversity,single-c,Socio-economic
ERA 2.4.3,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.4.3,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.4.3,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.4.3,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.4.3,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.4.3,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.4.3,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.4.3,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.4.3,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.4.3,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.4.3,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.4.3,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.4.3,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.4.3,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.4.3,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.4.3,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.4.3,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.4.3,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.4.3,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.4.3,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.4.3,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.4.3,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.4.3,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.4.3,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.4.3,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.5.1,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.5.1,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.5.1,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.5.1,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.5.1,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.5.1,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.5.1,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.5.1,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.5.1,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.5.1,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.5.1,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.5.1,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.5.1,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.5.1,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.5.1,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 2.5.1,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.5.1,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.5.1,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.5.1,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.5.1,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.5.1,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.5.1,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.5.1,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.5.1,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.5.1,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.5.1,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.5.1,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.5.1,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.5.1,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.5.1,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.5.1,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.5.1,Ecosystem connectivity-C1/1,1,Ecosystem connectivity,single-c,Ecological
ERA 2.5.1,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.5.1,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.5.1,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.5.1,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.5.1,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.5.1,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.5.1,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.5.1,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.5.2,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.5.2,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.5.2,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
ERA 2.5.2,Access to knowledge-C2,0,Access to knowledge,multi-c,Socio-economic
ERA 2.5.2,Accountable-C1,0,Accountable,multi-c,Governance
ERA 2.5.2,Accountable-C2,0,Accountable,multi-c,Governance
ERA 2.5.2,Economic diversity-C1,0,Economic diversity,multi-c,Socio-economic
ERA 2.5.2,Economic diversity-C2,0,Economic diversity,multi-c,Socio-economic
ERA 2.5.2,Efficient and effective-C1,0,Efficient and effective,multi-c,Governance
ERA 2.5.2,Efficient and effective-C2,0,Efficient and effective,multi-c,Governance
ERA 2.5.2,Equitable and inclusive-C1,0,Equitable and inclusive,multi-c,Governance
ERA 2.5.2,Equitable and inclusive-C2,0,Equitable and inclusive,multi-c,Governance
ERA 2.5.2,Flexible and agile infrastructure-C1,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.5.2,Flexible and agile infrastructure-C2,0,Flexible and agile infrastructure,multi-c,Socio-economic
ERA 2.5.2,Knowledge diversity-C1/1,0,Knowledge diversity,single-c,Socio-economic
ERA 2.5.2,Leadership and initiative-C1,0,Leadership and initiative,multi-c,Governance
ERA 2.5.2,Leadership and initiative-C2,0,Leadership and initiative,multi-c,Governance
ERA 2.5.2,Learning capacity-C1,0,Learning capacity,multi-c,Socio-economic
ERA 2.5.2,Learning capacity-C2,0,Learning capacity,multi-c,Socio-economic
ERA 2.5.2,Mobility-C1,0,Mobility,multi-c,Socio-economic
ERA 2.5.2,Mobility-C2,0,Mobility,multi-c,Socio-economic
ERA 2.5.2,Social capital-C1,0,Social capital,multi-c,Socio-economic
ERA 2.5.2,Social capital-C2,0,Social capital,multi-c,Socio-economic
ERA 2.5.2,Technology transfer-C1,0,Technology transfer,multi-c,Socio-economic
ERA 2.5.2,Technology transfer-C2,0,Technology transfer,multi-c,Socio-economic
ERA 2.5.2,Transparent-C1,0,Transparent,multi-c,Governance
ERA 2.5.2,Transparent-C2,0,Transparent,multi-c,Governance
ERA 2.5.2,Adaptive-C1/1,0,Adaptive,single-c,Governance
ERA 2.5.2,Age structure-C1/1,0,Age structure,single-c,Ecological
ERA 2.5.2,Agency-C1/1,0,Agency,single-c,Socio-economic
ERA 2.5.2,Cross-scale integration-C1/1,0,Cross-scale integration,single-c,Governance
ERA 2.5.2,Ecosystem connectivity-C1/1,0,Ecosystem connectivity,single-c,Ecological
ERA 2.5.2,Habitat diversity-C1/1,0,Habitat diversity,single-c,Ecological
ERA 2.5.2,Participatory-C1/1,0,Participatory,single-c,Governance
ERA 2.5.2,Polycentric-C1/1,0,Polycentric,single-c,Governance
ERA 2.5.2,Population abundance-C1/1,0,Population abundance,single-c,Ecological
ERA 2.5.2,Resilience mindset-C1/1,0,Resilience mindset,single-c,Socio-economic
ERA 2.5.2,Responsive-C1/1,0,Responsive,single-c,Governance
ERA 2.5.2,Species diversity-C1/1,0,Species diversity,single-c,Ecological
ERA 2.5.2,Wealth and reserves-C1/1,0,Wealth and reserves,single-c,Socio-economic
ERA 2.5.3,Access to economic opportunity-C1,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.5.3,Access to economic opportunity-C2,0,Access to economic opportunity,multi-c,Socio-economic
ERA 2.5.3,Access to knowledge-C1,0,Access to knowledge,multi-c,Socio-economic
